
24 - zzSize=-5.25  [11/6/2016 17:57:47--11/6/2016 19:11:08]
35 - zzSize=9.25  [11/6/2016 19:11:08--11/7/2016 04:08:04]
40 - zzSize=-5.75  [11/7/2016 04:08:04--11/7/2016 06:42:45]
58 - ZZSize=18.5  [11/7/2016 06:42:45--11/7/2016 13:40:40] >=16 + + + 417.92
62 - zzSize=-5.5  [11/7/2016 13:40:40--11/7/2016 14:41:00]
69 - ZZSize=11.5  [11/7/2016 14:41:00--11/7/2016 15:59:59] >=10 + + + 78.98
76 - zzSize=-9.5  [11/7/2016 15:59:59--11/7/2016 20:23:53]
84 - zzSize=9  [11/7/2016 20:23:53--11/8/2016 03:10:05]
97 - ZZSize=-11  [11/8/2016 03:10:05--11/8/2016 08:37:38] >=10 - - - 327.55
99 - zzSize=5  [11/8/2016 08:37:38--11/8/2016 08:44:22]
101 - zzSize=-5.25  [11/8/2016 08:44:22--11/8/2016 08:53:37]
125 - ZZSize=24.25  [11/8/2016 08:53:37--11/8/2016 12:03:51] >=22 + + + 190.23
139 - ZZSize=-12  [11/8/2016 12:03:51--11/8/2016 13:49:53] >=10 - - - 106.03
145 - zzSize=9.75  [11/8/2016 13:49:53--11/8/2016 14:50:19]
149 - zzSize=-7.25  [11/8/2016 14:50:19--11/8/2016 14:56:46]
161 - ZZSize=10.5  [11/8/2016 14:56:46--11/8/2016 17:07:13] >=10 + + + 70.45
163 - zzSize=-5  [11/8/2016 17:07:13--11/8/2016 17:07:47]
165 - zzSize=4.75  [11/8/2016 17:07:47--11/8/2016 17:11:03]
173 - ZZSize=-10  [11/8/2016 17:11:03--11/8/2016 18:07:04] >=10 - - - 56.02
180 - zzSize=6  [11/8/2016 18:07:04--11/8/2016 18:09:34]
187 - zzSize=-7.75  [11/8/2016 18:09:34--11/8/2016 18:14:38]
194 - zzSize=8.75  [11/8/2016 18:14:38--11/8/2016 18:19:19]
199 - zzSize=-6.5  [11/8/2016 18:19:19--11/8/2016 18:22:17]
208 - zzSize=9.25  [11/8/2016 18:22:17--11/8/2016 18:27:26]
228 - ZZSize=-16  [11/8/2016 18:27:26--11/8/2016 18:46:36] >=16 - - - 19.17
